,Name,Type,FrequentWord
0,Gréco Fresh Grille,Food services,"[('fries', 31), ('food', 29), ('greek', 24), ('good', 24), ('gyro', 21), ('fresh', 21), ('great', 18), ('friendly', 17), ('chicken', 16), ('salad', 15), ('delicious', 13), ('restaurant', 13), ('service', 12), ('try', 11), ('lamb', 10)]"
1,Brooklyn Pizza Parlor,Food services,"[('pizza', 116), ('good', 55), ('like', 34), ('food', 33), ('ordered', 25), ('great', 24), ('cheese', 23), ('brooklyn', 21), ('time', 21), ('sauce', 20), ('staff', 16), ('order', 15), ('come', 15), ('garlic', 15), ('better', 14)]"
2,Kami Chinese and Sushi,Food services,"[('food', 34), ('good', 32), ('sushi', 19), ('service', 18), ('thai', 18), ('great', 17), ('chinese', 16), ('roll', 16), ('chicken', 12), ('order', 10), ('staff', 10), ('pretty', 10), ('bad', 10), ('like', 9), ('prices', 8)]"
3,Nail Spa Village Commons,Grooming services,"[('polish', 7), ('nail', 6), ('skin', 3), ('regular', 3), ('girls', 3), ('time', 3), ('salon', 2), ('selection', 2), ('soaking', 2), ('good', 2), ('worse', 2), ('gel', 2), ('said', 2), ('method', 2), ('told', 2)]"
4,Hickory Tavern,Bars and lounges,"[('food', 58), ('good', 29), ('wait', 22), ('service', 21), ('minutes', 17), ('bar', 16), ('time', 16), ('chicken', 15), ('great', 13), ('order', 13), ('tavern', 13), ('table', 13), ('staff', 12), ('beer', 12), ('like', 12)]"
5,201 Central,"Shops, stores and markets","[('wine', 30), ('beer', 20), ('store', 19), ('selection', 15), ('like', 8), ('total', 7), ('bar', 7), ('good', 6), ('201', 6), ('new', 6), ('beers', 5), ('huge', 5), ('cider', 5), ('wines', 5), ('walk', 5)]"
6,Harris Teeter,"Shops, stores and markets","[('pharmacy', 6), ('teeter', 5), ('prescription', 4), ('small', 3), ('filled', 3), ('recently', 3), ('store', 3), ('shopping', 3), ('harris', 3), ('location', 2), ('early', 2), ('chapel', 2), (""physician's"", 2), ('past', 2), ('wesley', 2)]"
