,Name,Type,FrequentWord
22,FliPhones,IT services,"[('phone', 15), ('fast', 5), ('pretty', 4), ('guy', 4), ('service', 4), ('iphone', 4), ('friendly', 3), ('great', 3), ('terrible', 3), ('want', 3), ('knowledgeable', 2), ('looks', 2), ('staff', 2), ('new', 2), ('fliphone', 2)]"
23,Petsmart,Pet services,"[('store', 11), ('petsmart', 5), ('good', 4), ('bird', 4), ('staff', 3), ('items', 3), ('little', 3), ('animals', 3), ('dogs', 3), ('dog', 3), ('better', 2), ('like', 2), ('looking', 2), ('pets', 2), ('training', 2)]"
24,Social Pet,Pet services,"[('dogs', 17), ('pet', 15), ('social', 14), ('staff', 9), ('day', 9), ('love', 9), ('dog', 9), ('great', 7), ('time', 7), ('care', 6), ('did', 4), ('sure', 4), ('text', 3), (""we've"", 3), ('going', 3)]"
25,Off Leash Dog Training,Pet services,"[('dog', 14), ('leash', 9), ('training', 8), ('research', 5), ('vet', 3), ('team', 3), ('went', 3), ('old', 3), ('people', 3), ('new', 3), ('puppy', 3), ('years', 2), ('issues', 2), ('believe', 2), ('offleash', 2)]"
26,Monro Muffler Brake & Service,Automobile parts and supplies,"[('change', 9), ('oil', 9), ('car', 6), ('help', 5), ('time', 5), ('tire', 4), ('rotation', 4), ('price', 4), ('manager', 3), (""don't"", 3), ('going', 3), ('appointment', 3), ('stolen', 3), ('work', 3), ('missing', 3)]"
27,Volkswagen of South Charlotte,Automobile parts and supplies,"[('car', 60), ('service', 57), ('vw', 49), ('south', 30), ('sales', 23), ('charlotte', 20), ('dealership', 17), ('customer', 15), ('great', 14), ('jetta', 14), ('said', 14), ('did', 13), ('department', 13), ('experience', 12), ('work', 12)]"
28,Sears Auto Center,Automobile parts and supplies,"[('service', 15), ('oil', 12), ('change', 10), ('sears', 10), ('car', 9), ('time', 9), ('tires', 8), ('wait', 7), ('appointments', 5), ('day', 5), ('appointment', 4), ('great', 4), ('experience', 4), ('customer', 4), ('coming', 4)]"
29,Adventure Landing,Health and fitness services,"[('games', 32), ('time', 31), ('course', 31), ('karts', 29), ('ride', 28), ('kids', 26), ('golf', 26), ('fun', 25), ('like', 22), ('working', 20), (""don't"", 20), (""didn't"", 19), ('work', 18), ('went', 18), ('mini', 17)]"
30,Pineville Ice House,Health and fitness services,"[('ice', 38), ('skate', 21), ('rink', 17), ('skates', 15), ('house', 14), ('time', 12), ('rental', 9), ('pineville', 9), ('people', 9), ('better', 8), ('good', 8), ('hockey', 8), ('skating', 8), ('pretty', 7), ('extreme', 7)]"
31,Sky Zone Trampoline Park,Health and fitness services,"[('kids', 21), ('jump', 13), ('love', 13), ('fun', 12), ('party', 12), ('socks', 12), ('staff', 11), ('sky', 11), ('great', 10), ('clean', 9), ('skyzone', 8), ('want', 8), ('jumping', 8), ('good', 8), ('zone', 7)]"
32,JCPenney,Clothing,"[('store', 13), ('jc', 8), ('section', 7), ('tall', 7), ('penney', 7), ('jcp', 7), ('photos', 6), ('fee', 5), ('jcpenney', 5), ('good', 5), ('right', 5), ('christmas', 5), ('time', 5), ('clothes', 4), ('new', 4)]"
33,Macy's - Final Clearance Sale,Clothing,"[('told', 8), ('know', 5), (""macy's"", 5), ('great', 5), ('items', 5), ('checkout', 5), (""didn't"", 5), ('location', 4), ('denise', 4), ('helpful', 3), ('item', 3), ('section', 3), ('new', 3), ('foundation', 3), ('experience', 3)]"
34,Hot Topic,Clothing,"[('store', 3), ('good', 3), ('hot', 2), ('pretty', 2), ('way', 2), ('look', 2), ('""in', 1), ('charlotte', 1), ('crazy', 1), ('help', 1), ('chain', 1), ('steroids', 1), ('absolutely', 1), ('topics', 1), ('samcro', 1)]"
35,CarMax,Automobile dealers,"[('car', 39), ('carmax', 33), ('time', 16), ('did', 14), ('service', 14), ('payment', 13), ('cars', 12), ('day', 11), ('told', 10), ('lot', 10), ('price', 9), ('purchase', 8), (""don't"", 8), ('good', 8), ('warranty', 8)]"
36,Best Buy,handyman services,"[('phone', 16), ('best', 14), ('buy', 14), ('store', 12), (""didn't"", 9), ('service', 7), ('time', 7), ('went', 5), ('did', 4), (""i'm"", 4), ('loaner', 4), ('worst', 3), ('pineville', 3), ('great', 3), ('years', 3)]"
37,Tidal Wave Auto Spa,handyman services,"[('wash', 12), ('car', 8), ('definitely', 3), ('mister', 2), ('unlimited', 2), ('people', 2), ('free', 2), ('quick', 2), ('card', 2), ('thing', 2), ('monthly', 2), ('going', 2), ('great', 2), ('work', 2), ('credit', 2)]"
38,Best Buy,handyman services,"[('store', 30), ('buy', 29), ('best', 26), ('customer', 16), ('time', 14), ('service', 13), ('order', 12), ('help', 12), ('location', 12), ('minutes', 12), ('did', 11), ('went', 11), ('later', 10), ('said', 10), ('like', 10)]"
