,Name,Type,FrequentWord
0,South Fork Deli Cafe & Market,Food services,"[('food', 90), ('sandwich', 74), ('great', 73), ('good', 58), ('chicken', 56), ('beer', 49), ('salad', 47), ('selection', 43), ('like', 28), ('time', 27), ('little', 26), ('cheese', 26), ('fresh', 26), ('try', 23), ('amazing', 22)]"
1,Mayworth Public House,Food services,"[('great', 36), ('food', 29), ('good', 27), ('burger', 22), ('service', 16), ('beer', 15), ('fries', 15), ('waffle', 13), ('restaurant', 12), ('salad', 11), ('selection', 11), ('bar', 11), ('excellent', 10), ('cheese', 10), ('delicious', 10)]"
2,Center Street Tavern & Restaurant,Food services,"[('food', 16), ('good', 13), ('time', 13), ('great', 9), ('service', 9), ('chicken', 9), ('nice', 9), ('menu', 8), ('restaurant', 7), ('night', 7), ('ordered', 7), ('center', 6), ('atmosphere', 6), ('local', 6), ('like', 6)]"
