,Name,Type,FrequentWord
0,The Local Joint,Food services,"[('food', 78), ('local', 63), ('great', 63), ('good', 61), ('breakfast', 48), ('service', 28), ('station', 26), ('gas', 26), ('staff', 25), ('chips', 25), (""don't"", 23), ('amazing', 22), ('delicious', 22), ('chicken', 21), ('time', 20)]"
1,Hickory Nut Gap Farm,Food services,"[('farm', 19), ('great', 11), ('visit', 9), ('little', 9), ('time', 9), ('sausage', 8), ('meat', 8), ('fun', 8), ('beef', 8), ('kids', 7), ('asheville', 7), ('animals', 7), ('corn', 7), ('trip', 7), ('amazing', 6)]"
2,Looking Glass Creamery,Food services,"[('cheese', 17), ('cheeses', 11), ('delicious', 7), ('glass', 7), ('looking', 6), ('best', 5), ('little', 5), ('friendly', 5), ('sample', 5), ('shop', 4), ('staff', 4), ('good', 4), (""you're"", 4), ('buy', 4), ('goat', 4)]"
3,Sharon Spring Cabin,Grooming services,"[('cabin', 9), ('owner', 3), ('sauna', 3), ('clean', 3), ('perfect', 2), ('hot', 2), ('retreat', 2), ('stay', 2), ('come', 2), ('experience', 2), ('tub', 2), ('wonderful', 2), ('mountain', 2), ('consider', 1), (""don't"", 1)]"
4,The Joint Next Door,Bars and lounges,"[('food', 7), ('bar', 4), ('local', 3), ('good', 3), ('station', 3), ('gas', 3), ('time', 3), ('friendly', 2), ('joint', 2), ('fairview', 2), ('half', 2), ('cooks', 2), ('night', 2), ('meal', 2), (""there's"", 2)]"
5,Asheville Veedub Volkswagon Repair & Restoration,Automobile parts and supplies,"[('chris', 4), (""he'd"", 3), ('day', 3), ('said', 3), (""hadn't"", 3), ('heard', 3), ('vw', 3), ('fuel', 2), ('helpful', 2), ('fixes', 2), ('quick', 2), ('business', 2), ('care', 2), ('days', 2), ('honest', 2)]"
