,Name,Type,FrequentWord
0,Grand Asia Market,Food services,"[('food', 71), ('asian', 66), ('fresh', 53), ('store', 52), ('good', 50), ('chinese', 45), ('bakery', 42), ('like', 39), ('market', 37), ('area', 37), ('grocery', 34), ('great', 34), ('fish', 32), (""don't"", 29), ('produce', 28)]"
1,Dunwright Grill,Food services,"[('wings', 32), ('pizza', 31), ('good', 18), ('great', 15), ('food', 14), ('fries', 14), ('friendly', 12), ('like', 9), ('hot', 8), ('little', 8), ('service', 8), ('family', 7), ('reviews', 7), ('zucchini', 7), ('definitely', 7)]"
2,Enzo's Italian Market,Food services,"[('italian', 30), ('market', 9), ('sauce', 9), ('sausage', 8), ('homemade', 8), ('sausages', 8), ('like', 8), ('great', 7), (""enzo's"", 7), ('good', 7), ('dinner', 7), ('fresh', 7), ('authentic', 6), ('pasta', 6), ('food', 5)]"
