,Name,Type,FrequentWord
0,Long Creek Fish Fry,Food services,"[('food', 38), ('fish', 35), ('fried', 29), ('seafood', 23), ('good', 19), ('like', 19), ('people', 19), ('great', 14), (""don't"", 12), ('shrimp', 12), ('long', 12), ('perch', 11), ('service', 11), ('best', 11), ('creek', 11)]"
1,Tommy's Drive-In,Food services,"[('food', 6), ('service', 6), ('great', 5), ('good', 4), ('ketchup', 4), ('burger', 4), ('waitress', 4), ('friendly', 3), ('return', 3), ('like', 3), ('drinks', 3), ('fries', 3), (""don't"", 2), ('stopped', 2), ('slow', 2)]"
2,Waffle House,Food services,"[('friendly', 4), ('food', 4), ('good', 3), ('server', 3), ('house', 3), ('waffle', 3), ('service', 3), ('breakfast', 3), ('order', 3), ('rating', 2), ('late', 2), ('meal', 2), ('enjoy', 2), ('decided', 2), ('review', 2)]"
3,I-85 321 Flea Market,"Shops, stores and markets","[('flea', 5), ('market', 4), (""don't"", 3), ('day', 3), ('chickens', 3), ('money', 2), ('going', 2), ('return', 2), (""women's"", 2), ('know', 2), ('like', 2), ('did', 2), ('people', 2), ('expect', 2), ('sell', 2)]"
