,Name,Type,FrequentWord
22,Mobile Bling - iPhone and Cell Phone Repair,IT services,"[('phone', 10), ('screen', 7), ('service', 7), ('like', 5), ('customer', 5), ('work', 5), ('new', 4), ('free', 4), ('repair', 4), ('satisfied', 3), ('case', 3), ('cell', 3), ('great', 3), ('protector', 3), ('iphone', 3)]"
23,Neighborhood Feed and Tack,Pet services,"[('food', 17), ('pet', 11), ('store', 8), ('dog', 7), ('prices', 5), ('selection', 4), ('staff', 4), ('helpful', 4), ('great', 4), ('foods', 4), ('bags', 4), ('help', 3), (""don't"", 3), ('petco', 3), ('chicken', 3)]"
24,PetSmart,Pet services,"[('store', 11), ('dog', 9), ('like', 7), (""don't"", 6), ('petco', 6), ('food', 6), ('great', 6), ('petsmart', 6), ('location', 5), ('need', 5), ('yes', 4), ('feel', 4), ('bit', 4), ('stores', 3), ('looks', 3)]"
25,Plantation Animal Clinic,Pet services,"[('animal', 8), ('plantation', 8), ('years', 7), ('vet', 7), ('pet', 7), ('vets', 6), ('best', 5), ('great', 5), ('dr', 4), ('pets', 4), ('care', 4), ('love', 4), ('dogs', 4), ('clinic', 3), ('family', 3)]"
26,Keffer Hyundai,Automobile parts and supplies,"[('car', 74), ('service', 23), ('told', 18), ('did', 17), ('like', 16), ('dealership', 16), ('day', 15), ('keffer', 13), ('time', 13), ('said', 12), ('new', 11), ('experience', 10), ('hyundai', 10), ('price', 10), ('called', 10)]"
27,Firestone Complete Auto Care,Automobile parts and supplies,"[('car', 10), ('told', 6), ('alignment', 5), ('new', 5), ('called', 5), ('time', 5), ('shop', 4), ('location', 4), ('need', 4), ('friend', 4), ('phone', 4), ('tire', 3), ('like', 3), ('ryan', 3), ('guy', 3)]"
28,Advance Auto Parts,Automobile parts and supplies,"[('car', 4), ('parts', 4), ('right', 3), ('pep', 3), ('went', 3), ('needed', 3), ('door', 3), ('advance', 3), ('boys', 3), ('bulb', 3), ('price', 3), ('better', 2), ('going', 2), ('gave', 2), ('did', 2)]"
29,Colonel Francis Beatty Park,Health and fitness services,"[('park', 39), ('trails', 21), ('lake', 15), ('mountain', 13), ('great', 12), ('tennis', 11), ('fields', 10), ('trail', 9), ('biking', 9), ('courts', 9), ('bike', 8), ('bikers', 7), ('gazebo', 7), ('large', 7), ('people', 7)]"
30,Four Mile Creek Greenway - Matthews,Health and fitness services,"[('great', 10), ('run', 9), ('walk', 9), ('trail', 8), ('lake', 7), ('greenway', 7), ('path', 7), ('miles', 7), ('way', 6), ('paved', 6), ('park', 6), ('walking', 5), ('mile', 5), ('love', 5), ('squirrel', 5)]"
31,Charlotte Golf Links,Health and fitness services,"[('course', 16), ('golf', 6), ('greens', 5), ('did', 5), ('charlotte', 5), ('time', 5), ('range', 4), ('staff', 3), ('mowed', 3), ('tee', 3), ('carts', 3), ('given', 3), ('owners', 3), ('great', 3), ('potential', 3)]"
32,Ross Dress for Less,Clothing,"[('ross', 12), ('store', 6), ('deals', 5), ('better', 4), ('great', 4), ('shoes', 3), ('quality', 3), ('kitchen', 3), ('prices', 3), ('dress', 3), ('generally', 3), ('marshalls', 3), ('shop', 2), ('selection', 2), ('stores', 2)]"
33,Plato's Closet,Clothing,"[('store', 21), ('clothes', 20), (""plato's"", 12), ('like', 11), ('prices', 10), (""i'm"", 10), ('clothing', 9), ('time', 9), ('closet', 8), ('new', 7), ('shoes', 7), ('buy', 7), ('staff', 7), ('helpful', 7), ('day', 6)]"
34,New Balance Charlotte,Clothing,"[('store', 3), ('selection', 2), ('shoes', 2), ('best', 2), ('shoe', 2), ('new', 2), ('friendly', 2), ('offered', 2), ('balance', 2), ('stock', 1), ('limited', 1), ('crazy', 1), ('old', 1), ('supply', 1), ('organized', 1)]"
35,Audi of Charlotte,Automobile dealers,"[('service', 61), ('audi', 60), ('car', 58), ('charlotte', 29), ('dealership', 26), ('new', 16), ('department', 16), ('tire', 15), ('sales', 15), ('experience', 14), ('did', 13), ('loaner', 13), ('like', 13), ('time', 13), ('vehicle', 12)]"
36,Uncle Bob's Self Storage,Automobile dealers,"[('storage', 6), ('friendly', 3), ('stuff', 3), ('great', 3), ('unit', 3), ('service', 3), ('customer', 3), ('phone', 3), ('pleased', 2), ('cheaper', 2), ('space', 2), ('access', 2), ('wanted', 2), ('months', 2), (""can't"", 2)]"
37,Matthews Fun Machines,Automobile dealers,"[('good', 5), ('new', 5), ('bike', 5), ('gas', 5), ('helmet', 5), ('can-am', 4), ('guys', 4), ('make', 4), ('yamaha', 3), ('sale', 3), ('list', 3), ('going', 3), ('close', 3), ('experience', 3), ('matthews', 3)]"
38,Sam's Xpress Car Wash,handyman services,"[('car', 28), ('wash', 20), ('clean', 9), ('free', 7), ('great', 6), ('use', 6), ('good', 6), ('nice', 6), ('work', 5), ('washes', 5), ('job', 5), ('new', 4), ('wiper', 4), ('vacuums', 4), ('machine', 4)]"
39,The UPS Store,handyman services,"[('store', 3), ('review', 2), ('location', 2), ('closed', 2), ('wait', 2), ('line', 2), ('weekend', 2), ('days', 2), ('time', 2), (""i'll"", 1), ('saturdays', 1), ('fair', 1), ('people', 1), ('knowledgeable', 1), ('soon', 1)]"
40,Plaza Appliance Mart,handyman services,"[('new', 8), ('appliance', 7), ('store', 6), ('plaza', 5), ('price', 4), ('right', 3), ('business', 3), ('available', 3), ('appliances', 3), ('room', 3), ('able', 3), ('purchase', 3), ('selection', 2), ('help', 2), ('customer', 2)]"
