,Name,Type,FrequentWord
0,Carolina Ale House,Food services,"[('food', 122), ('good', 97), ('service', 72), ('beer', 71), ('great', 58), ('wings', 53), ('bar', 46), ('like', 41), ('ordered', 36), ('time', 35), ('chicken', 32), ('minutes', 32), ('fries', 31), ('came', 28), (""didn't"", 28)]"
1,Yogurt Mountain,Food services,"[('yogurt', 12), ('cups', 9), ('flavors', 8), ('like', 6), ('toppings', 6), ('love', 6), ('couple', 4), ('stop', 4), ('try', 4), ('tart', 4), ('said', 4), ('kids', 4), ('times', 4), ('taste', 4), ('manager', 3)]"
2,Macado's,Bars and lounges,"[('food', 21), ('mall', 18), ('sandwich', 18), (""macado's"", 18), ('good', 18), ('menu', 15), ('kids', 13), ('sandwiches', 13), (""i've"", 12), ('great', 11), ('service', 11), ('eat', 10), ('soup', 9), ('1', 8), ('day', 8)]"
