,Name,Type,FrequentWord
22,IKEA,"Shops, stores and markets","[('ikea', 473), ('furniture', 202), ('store', 168), ('like', 143), ('good', 116), ('great', 116), ('food', 114), ('time', 107), ('home', 102), ('items', 101), ('love', 97), (""don't"", 87), ('shopping', 79), ('cheap', 78), (""i'm"", 74)]"
23,Target,"Shops, stores and markets","[('target', 185), ('parking', 87), ('store', 57), ('location', 50), ('like', 46), (""don't"", 36), ('love', 34), ('need', 34), ('shopping', 32), ('good', 31), ('great', 31), ('service', 27), ('deck', 25), ('time', 25), ('park', 24)]"
24,Apple,IT services,"[('apple', 163), ('store', 161), ('phone', 93), ('appointment', 65), ('service', 58), ('new', 54), ('time', 40), ('iphone', 39), ('products', 37), ('help', 36), ('customer', 35), ('genius', 33), ('minutes', 32), ('told', 31), ('make', 31)]"
25,Apple Store,IT services,"[('store', 66), ('apple', 54), ('phone', 36), ('service', 26), ('new', 22), ('ipad', 20), ('time', 20), ('appointment', 17), ('told', 16), ('customer', 16), ('iphone', 15), ('experience', 14), ('asked', 14), ('did', 12), ('employees', 12)]"
26,Fairpoint Communications,IT services,"[('company', 11), ('service', 9), ('business', 8), ('fairpoint', 7), ('new', 6), ('review', 5), ('people', 4), ('said', 4), ('phone', 4), ('say', 4), ('office', 3), ('issues', 3), ('hope', 3), ('day', 3), ('billing', 3)]"
27,PetSmart,Pet services,"[('dog', 39), ('grooming', 22), ('pet', 20), ('store', 18), ('location', 18), ('staff', 15), ('puppy', 15), ('training', 14), ('dogs', 14), ('like', 14), ('time', 13), (""i'm"", 12), ('petsmart', 12), ('great', 11), ('experience', 11)]"
28,Canine Cafe,Pet services,"[('dog', 71), ('treats', 56), ('dogs', 31), ('cafe', 23), ('great', 22), ('birthday', 21), ('store', 20), ('canine', 19), ('like', 19), ('love', 17), ('friendly', 16), ('pup', 15), ('cake', 15), ('bakery', 14), (""don't"", 14)]"
29,Petco,Pet services,"[('store', 13), ('petco', 9), ('small', 8), (""don't"", 8), ('food', 8), ('selection', 7), ('new', 6), ('dog', 6), ('fish', 5), ('stores', 5), ('trader', 5), ('pet', 5), ('buy', 5), ('need', 4), ('sure', 4)]"
30,Autobell Car Wash,Automobile parts and supplies,"[('car', 63), ('wash', 28), ('like', 15), ('job', 14), ('autobell', 14), ('time', 14), ('nice', 13), ('clean', 12), ('great', 11), (""don't"", 11), ('auto', 11), (""i've"", 11), ('service', 10), ('bell', 10), ('left', 9)]"
31,Valvoline Instant Oil Change,Automobile parts and supplies,"[('oil', 38), ('car', 27), ('change', 21), ('service', 15), ('minutes', 14), ('experience', 11), ('work', 10), ('quick', 9), ('wait', 9), ('great', 9), ('went', 9), ('services', 9), ('did', 8), ('inspection', 8), ('10', 8)]"
32,Wiki Wiki Carwash,Automobile parts and supplies,"[('car', 80), ('wash', 67), ('wiki', 38), ('vacuums', 23), ('free', 21), ('clean', 21), ('great', 17), ('time', 14), ('quick', 13), ('good', 12), ('touch', 11), ('service', 10), ('vacuum', 9), ('like', 9), ('use', 8)]"
33,Carowinds,Health and fitness services,"[('park', 460), ('rides', 218), ('ride', 202), ('carowinds', 186), ('day', 144), ('time', 141), ('water', 133), ('great', 131), ('food', 116), ('coasters', 108), ('like', 105), ('fun', 91), ('good', 84), ('pass', 83), ('parks', 82)]"
34,Freedom Park,Health and fitness services,"[('park', 279), ('great', 82), ('freedom', 70), ('love', 64), ('walk', 46), ('charlotte', 45), ('nice', 42), ('people', 40), ('walking', 39), ('little', 38), ('beautiful', 35), ('lake', 33), ('time', 32), ('like', 32), ('picnic', 31)]"
35,Romare Bearden Park,Health and fitness services,"[('park', 107), ('great', 61), ('uptown', 38), ('charlotte', 35), ('city', 25), ('events', 23), ('beautiful', 20), ('space', 19), ('little', 19), ('nice', 19), ('good', 16), ('right', 16), ('area', 16), ('love', 15), ('play', 15)]"
36,The Tile Shop,Construction services,"[('tile', 19), ('tiles', 14), ('time', 8), ('shop', 6), ('manager', 6), ('store', 6), ('bad', 5), ('experience', 5), ('sales', 5), ('showroom', 4), ('great', 4), ('service', 4), ('purchase', 4), ('knowledgeable', 3), ('samples', 3)]"
37,M S International Inc,Construction services,"[('msi', 5), ('slabs', 4), ('husband', 4), ('say', 4), ('slab', 4), ('warehouse', 4), ('tiles', 3), ('like', 3), ('did', 3), ('house', 3), ('quartz', 3), ('told', 3), ('buy', 3), ('process', 3), ('home', 3)]"
38,Prosource of Charlotte,Construction services,"[('need', 7), ('problem', 6), ('tile', 6), ('gary', 4), ('countertops', 4), ('work', 4), ('cabinets', 4), (""don't"", 3), ('counters', 3), ('business', 3), ('company', 3), ('took', 3), ('look', 3), ('selection', 2), ('quotes', 2)]"
39,Nordstrom,Clothing,"[('nordstrom', 58), ('store', 40), ('service', 33), ('department', 30), ('like', 28), ('great', 26), ('shoes', 26), ('return', 20), ('customer', 17), ('pair', 16), ('sales', 15), (""i'm"", 14), ('love', 14), ('shop', 14), ('shopping', 14)]"
40,Nordstrom Rack,Clothing,"[('nordstrom', 51), ('rack', 50), ('store', 49), ('good', 35), ('great', 34), ('like', 33), ('shoes', 32), ('time', 25), ('section', 19), (""i'm"", 19), ('selection', 19), ('racks', 18), ('prices', 18), (""i've"", 16), ('price', 16)]"
41,Off Broadway,Clothing,"[('shoes', 55), ('store', 19), ('selection', 18), ('shoe', 16), ('dress', 13), ('like', 12), ('pair', 10), ('broadway', 9), ('section', 8), ('great', 8), ('rewards', 8), ('purchase', 7), (""don't"", 7), ('good', 7), ('size', 7)]"
42,CarMax,Automobile dealers,"[('car', 63), ('carmax', 28), ('great', 12), ('took', 12), ('time', 12), ('cars', 11), ('service', 11), ('sell', 11), ('needed', 10), ('vehicle', 10), ('told', 9), ('drive', 9), ('fixed', 9), ('bought', 9), ('right', 9)]"
43,Carolina Volkswagen,Automobile dealers,"[('car', 45), ('price', 14), ('dealership', 14), ('service', 11), ('mirror', 11), ('told', 10), ('great', 10), ('experience', 9), ('wanted', 9), ('carolina', 8), ('going', 7), ('sales', 7), ('like', 7), ('volkswagen', 7), ('true', 7)]"
44,Bmw Motorcycles of Charlotte,Automobile dealers,"[('bike', 33), ('service', 20), (""don't"", 9), ('dealer', 9), ('customer', 8), ('said', 8), ('experience', 7), ('motorcycle', 7), ('like', 7), ('time', 7), ('great', 6), ('help', 6), ('took', 6), ('bmw', 6), ('problem', 6)]"
45,Sur La Table,handyman services,"[('great', 17), ('kitchen', 17), ('sur', 15), ('la', 15), ('table', 14), ('cooking', 12), ('need', 11), ('items', 9), ('gadgets', 8), ('dishes', 8), (""i'm"", 7), (""don't"", 7), ('good', 7), ('expensive', 7), ('like', 7)]"
46,Autobell Car Wash,handyman services,"[('car', 15), ('wash', 10), ('autobell', 5), ('clean', 5), ('location', 4), ('auto', 3), ('job', 3), ('care', 3), ('great', 3), ('bell', 3), ('fast', 3), ('inside', 3), ('know', 3), ('guys', 3), (""don't"", 2)]"
47,Auto Bell Car Wash,handyman services,"[('car', 58), ('wash', 27), ('clean', 18), ('time', 15), ('job', 13), ('cars', 11), ('interior', 11), ('staff', 11), ('location', 11), ('home', 11), ('autobell', 11), ('good', 10), ('did', 9), (""didn't"", 9), (""don't"", 9)]"
