,Name,Type,FrequentWord
22,Walmart Supercenter,"Shops, stores and markets","[('walmart', 23), ('store', 17), ('clean', 10), ('parking', 9), ('like', 9), ('lot', 9), ('usually', 8), ('good', 8), ('people', 8), ('great', 7), ('wal-mart', 7), ('times', 7), ('paint', 7), ('need', 7), ('pretty', 7)]"
23,Lowes Home Improvement,"Shops, stores and markets","[('store', 15), ('help', 10), ('great', 9), ('home', 9), ('manager', 7), ('location', 7), ('new', 5), ('concord', 5), ('shopping', 5), ('love', 5), ('mills', 5), ('told', 4), (""i'm"", 4), ('ask', 4), ('check', 4)]"
24,Petco,Pet services,"[('petco', 11), ('cat', 9), ('petsmart', 8), ('pet', 6), ('like', 6), ('care', 6), ('store', 6), ('food', 5), ('tower', 5), ('leash', 4), ('advice', 4), ('shop', 3), ('stores', 3), ('know', 3), ('new', 3)]"
25,PetSmart,Pet services,"[('cut', 11), ('price', 8), ('groomer', 7), ('touch-up', 6), ('service', 5), ('did', 4), ('issue', 4), ('online', 4), ('petsmart', 4), ('told', 3), ('$41.00', 3), ('needed', 3), ('2', 3), ('prices', 3), ('groom', 3)]"
26,We Hug'em & Tuck'em Inn,Pet services,"[('dunkin', 6), ('em', 4), ('pet', 4), ('late', 3), ('facebook', 3), ('right', 3), ('pictures', 3), ('john', 3), ('hug', 3), ('check', 3), ('time', 3), ('gold', 2), ('furry', 2), ('food', 2), ('did', 2)]"
27,Sears Auto Center,Automobile parts and supplies,"[('staff', 5), ('sears', 5), ('service', 5), ('oil', 5), ('car', 4), ('time', 4), ('tire', 3), ('auto', 3), ('free', 3), ('change', 3), ('getting', 3), ('checked', 3), ('mall', 3), ('center', 3), ('make', 3)]"
28,Tom Johnson Camping World,Automobile parts and supplies,"[('service', 28), ('replaced', 12), ('johnson', 10), ('rv', 10), ('tom', 10), ('took', 10), ('camper', 10), ('unit', 9), ('trailer', 9), ('customer', 8), ('weeks', 8), ('repairs', 8), ('said', 8), ('make', 8), ('time', 8)]"
29,Meineke Car Care Center,Automobile parts and supplies,"[('went', 4), ('times', 3), ('exhaust', 3), ('guys', 3), ('came', 3), (""don't"", 2), ('installed', 2), ('hendrick', 2), ('like', 2), ('sent', 2), ('dealership', 2), ('dollars', 2), ('owner', 2), ('actually', 2), ('service', 2)]"
30,SEA LIFE Charlotte-Concord Aquarium,Health and fitness services,"[('aquarium', 78), ('kids', 54), ('sea', 33), ('time', 31), ('small', 31), ('fish', 30), ('little', 28), ('mall', 28), ('like', 26), ('area', 25), ('tickets', 24), ('price', 24), ('life', 22), ('nice', 22), ('great', 22)]"
31,Eagle Pawn & Guns,Health and fitness services,"[('range', 19), ('time', 12), ('gun', 11), ('staff', 11), ('like', 10), ('shooting', 9), (""i've"", 8), ('night', 8), ('customer', 7), ('experience', 7), ('service', 7), ('great', 6), ('friendly', 5), ('good', 5), ('charge', 4)]"
32,Nascar Speedpark Concord,Health and fitness services,"[('broken', 5), ('closed', 4), ('games', 4), ('wall', 4), ('nascar', 4), ('mills', 4), (""don't"", 3), ('money', 3), ('day', 3), ('rock', 3), ('concord', 3), ('3', 3), ('race', 3), ('horrible', 3), ('new', 3)]"
33,Coach,Clothing,"[('store', 9), ('coach', 7), ('like', 6), ('happy', 6), ('help', 5), ('sales', 5), ('price', 5), (':d', 4), ('people', 4), ('rep', 4), ('coupon', 4), ('little', 4), ('prices', 3), ('staff', 3), ('looking', 3)]"
34,Forever 21,Clothing,"[('look', 5), ('21', 4), ('like', 4), ('pieces', 4), ('forever', 4), ('sparkly', 3), ('sizes', 3), ('plus', 3), ('store', 3), ('shoes', 2), ('colors', 2), ('weekly', 2), ('styles', 2), ('breaks', 2), ('try', 2)]"
35,Off Broadway,Clothing,"[('shoes', 8), ('shoe', 3), ('location', 3), ('discount', 3), ('store', 3), ('stores', 2), ('broadway', 2), ('like', 2), ('michael', 2), ('obs', 2), ('shopper', 2), ('size', 2), (""doesn't"", 2), ('stock', 2), ('purchase', 2)]"
36,Speedway Harley Davidson,Automobile dealers,"[('way', 7), ('area', 7), ('dealerships', 5), ('harley', 5), ('good', 5), ('showroom', 5), ('pat', 5), ('like', 5), ('offer', 5), ('experience', 4), (""don't"", 4), ('say', 4), ('parts', 4), ('people', 4), ('hd', 4)]"
37,Hendrick Toyota Scion Concord,Automobile dealers,"[('car', 42), ('service', 31), ('dealership', 23), ('manager', 21), ('time', 19), ('new', 15), ('toyota', 14), ('did', 12), ('great', 11), ('phone', 11), ('customer', 11), ('like', 11), ('asked', 10), ('called', 10), ('cars', 9)]"
38,Hendrick Chrysler Dodge Jeep RAM of Concord,Automobile dealers,"[('car', 33), ('battery', 18), ('told', 17), ('service', 15), ('vehicle', 14), ('dealership', 14), ('time', 13), ('said', 12), ('jeep', 12), ('appointment', 11), ('new', 10), ('price', 10), ('hendrick', 10), ('bad', 10), ('money', 10)]"
39,Autobell Car Wash,handyman services,"[('car', 23), ('wash', 15), ('time', 8), ('like', 5), ('service', 5), ('auto', 4), ('outside', 4), ('crumbs', 3), ('location', 3), ('spots', 3), ('going', 3), ('took', 3), ('bell', 3), ('cleaning', 3), ('clean', 3)]"
40,Speedmax Car Wash,handyman services,"[('wash', 6), ('car', 3), ('service', 2), (""don't"", 2), ('good', 2), ('took', 2), ('free', 2), ('$3', 2), ('horrible', 1), ('fantastic', 1), ('right', 1), ('love', 1), ('shabby', 1), ('contacted', 1), ('needless', 1)]"
41,Autobell Car Wash,handyman services,"[('car', 18), ('wash', 15), (""don't"", 4), ('3', 4), ('vacuum', 3), ('dollars', 3), ('bell', 3), ('wax', 3), ('autobell', 3), ('taco', 3), ('busy', 2), ('pay', 2), ('paying', 2), ('auto', 2), ('know', 2)]"
