,Name,Type,FrequentWord
0,Kyle Fletcher's BBQ & Catering,Food services,"[('bbq', 91), ('good', 58), ('great', 34), ('small', 32), ('sauce', 32), ('pork', 30), ('food', 28), ('cash', 28), ('rings', 26), ('slaw', 25), ('onion', 25), ('best', 23), ('hush', 23), ('puppies', 23), ('like', 21)]"
1,Hillbilly's Barbeque & Steaks,Food services,"[('bbq', 24), ('food', 19), ('good', 14), ('ribs', 14), ('great', 12), ('salad', 11), ('potato', 9), ('sauce', 8), ('like', 8), ('better', 7), ('meat', 7), ('service', 7), ('pork', 6), ('staff', 6), ('beef', 6)]"
2,ICONz Bar,Food services,"[('bar', 4), ('local', 3), ('food', 3), ('gastonia', 3), ('good', 2), ('trouble', 2), ('drinks', 2), ('quite', 2), ('fun', 2), ('times', 2), ('beer', 2), ('drugs', 2), ('great', 2), ('cops', 2), ('sucks', 2)]"
