,Name,Type,FrequentWord
0,The Woodshed Restaurant,Food services,"[('steak', 14), ('salad', 13), ('bar', 11), ('woodshed', 11), ('good', 9), ('food', 9), ('stanley', 9), ('years', 8), ('restaurant', 7), ('great', 6), ('tomato', 6), ('service', 6), ('steakhouse', 5), (""don't"", 5), ('better', 5)]"
1,Cherry Berry,Food services,"[('yogurt', 4), ('good', 3), ('berry', 3), ('area', 3), ('locations', 3), ('cherry', 2), ('denver', 2), ('fat', 2), ('toppings', 2), ('open', 2), ('little', 2), ('today', 2), ('treat', 2), ('selection', 1), (""don't"", 1)]"
2,Friendly's of Stanley,Food services,"[('good', 9), ('food', 7), ('breakfast', 4), ('menu', 3), ('plate', 3), ('like', 3), ('steak', 3), ('service', 3), ('fried', 3), ('hamburger', 3), ('atmosphere', 2), (""don't"", 2), ('ended', 2), ('toast', 2), ('better', 2)]"
