,Name,Type,FrequentWord
21,Birkdale Village,"Shops, stores and markets","[('stores', 36), ('birkdale', 31), ('shopping', 26), ('restaurants', 24), ('great', 23), ('nice', 23), ('village', 21), ('shops', 21), ('good', 20), ('movie', 19), ('like', 19), ('theater', 16), ('parking', 15), ('area', 15), ('center', 11)]"
22,Harris Teeter,"Shops, stores and markets","[('store', 6), ('love', 3), ('selection', 2), (""i'm"", 2), ('given', 2), ('start', 2), ('music', 2), ('north', 2), ('ht', 2), ('grocery', 2), ('stocked', 2), ('teeter', 2), ('harris', 2), ('time', 2), ('neighbors', 1)]"
23,Lowe's,"Shops, stores and markets","[('help', 20), ('store', 19), ('lowes', 19), ('need', 13), (""didn't"", 13), ('guy', 12), ('said', 12), ('home', 11), ('finally', 10), (""lowe's"", 10), ('staff', 10), ('order', 9), ('wanted', 9), ('service', 9), ('employee', 9)]"
24,Petco,Pet services,"[('petco', 16), ('store', 9), ('did', 8), ('time', 7), ('said', 6), ('animals', 5), (""didn't"", 5), ('good', 5), ('dog', 5), ('vet', 4), ('water', 4), ('great', 4), ('items', 4), ('dropped', 4), (""don't"", 4)]"
25,Dog Supplies,Pet services,"[('dog', 27), ('toys', 14), ('warehouse', 14), ('food', 12), ('prices', 12), ('supplies', 11), ('great', 10), ('treats', 9), ('order', 8), ('items', 7), ('help', 7), ('store', 6), ('staff', 6), ('times', 5), ('service', 5)]"
26,Yappy Hour Bakery,Pet services,"[('treats', 10), ('cake', 6), ('love', 4), ('dogs', 4), ('heather', 4), ('yappy', 3), ('flavors', 3), ('come', 3), ('hour', 3), ('picky', 3), ('friendly', 2), ('food', 2), (""heather's"", 2), ('cookies', 2), ('dexter', 2)]"
27,Valvoline Instant Oil Change,Automobile parts and supplies,"[('said', 7), ('oil', 7), ('new', 6), ('service', 6), ('belt', 5), ('car', 5), ('air', 5), ('engine', 4), ('took', 4), ('need', 4), ('fine', 3), ('going', 3), ('good', 3), ('3', 3), ('clamp', 3)]"
28,Latta Plantation Park,Health and fitness services,"[('park', 22), ('trails', 20), ('lake', 13), ('center', 11), ('plantation', 9), ('great', 8), ('beautiful', 8), ('riding', 8), ('latta', 7), ('nature', 7), ('hiking', 7), ('raptor', 7), ('enjoy', 6), ('water', 6), ('family', 6)]"
29,Sparetime Entertainment,Health and fitness services,"[('bowling', 25), ('great', 22), ('food', 19), ('bar', 15), ('lanes', 15), ('time', 15), ('nice', 14), ('arcade', 13), ('area', 12), ('good', 11), ('like', 9), ('games', 8), ('party', 8), ('new', 7), ('alley', 7)]"
30,Warrior Dash,Health and fitness services,"[('race', 17), ('time', 17), ('mud', 16), ('water', 14), ('warrior', 14), ('dash', 12), ('like', 12), ('course', 11), ('people', 11), ('run', 11), ('pit', 11), ('way', 9), ('event', 9), ('parking', 9), ('obstacles', 9)]"
31,Kohl's,Clothing,"[('store', 10), ('great', 7), ('service', 7), ('customer', 6), (""i'm"", 5), (""kohl's"", 5), ('did', 4), (""didn't"", 4), ('write', 4), ('good', 4), ('review', 4), ('lot', 4), ('clothes', 3), ('awesome', 3), ('help', 3)]"
32,Gap,Clothing,"[('gap', 7), ('staff', 5), ('good', 5), ('pretty', 4), ('section', 4), ('sales', 4), ('location', 3), ('bit', 3), ('helpful', 3), ('little', 3), ('nice', 3), ('like', 2), ('sizes', 2), ('navy', 2), ('great', 2)]"
33,Charming Charlie,Clothing,"[('jewelry', 4), ('color', 4), ('return', 3), ('walk', 3), ('store', 3), ('want', 3), ('cool', 2), ('like', 2), ('try', 2), ('bag', 2), ('adorable', 2), ('affordable', 2), ('coral', 2), ('love', 2), ('birkdale', 2)]"
34,Toyota of North Charlotte,Automobile dealers,"[('car', 120), ('service', 61), ('toyota', 54), ('time', 45), ('dealership', 45), ('said', 40), ('sales', 37), ('like', 34), ('vehicle', 31), ('new', 30), ('told', 30), ('price', 29), ('good', 28), ('went', 27), ('did', 26)]"
35,Keffer Mazda,Automobile dealers,"[('car', 45), ('mazda', 39), ('keffer', 29), ('experience', 21), (""didn't"", 17), ('went', 15), ('wanted', 14), ('deal', 14), ('new', 13), ('great', 13), ('said', 12), ('oil', 12), ('good', 11), ('took', 11), ('sean', 11)]"
36,Randy Marion Buick GMC,Automobile dealers,"[('service', 16), ('vehicle', 11), ('zach', 9), ('sales', 9), ('marion', 8), ('randy', 8), ('great', 7), ('customer', 7), ('said', 7), ('know', 7), ('department', 7), ('told', 6), ('car', 6), ('ron', 5), ('experience', 5)]"
37,Autobell Car Wash,handyman services,"[('car', 37), ('wash', 19), ('interior', 8), ('service', 7), ('home', 7), ('time', 7), ('new', 5), ('work', 5), (""don't"", 5), ('better', 5), ('cleaning', 5), ('business', 5), ('worth', 4), ('trunk', 4), (""didn't"", 4)]"
38,Sam's Xpress Car Wash,handyman services,"[('car', 21), ('wash', 20), ('clean', 7), ('love', 6), ('pretty', 4), ('like', 4), ('brush', 4), ('friendly', 3), ('coffee', 3), ('good', 3), ('did', 3), ('great', 3), ('wheels', 3), ('vehicle', 3), ('came', 3)]"
39,The Power Outlet,handyman services,"[('mower', 6), ('website', 6), ('power', 5), ('warranty', 5), ('outlet', 4), ('like', 4), ('repair', 4), ('parts', 4), ('palmers', 4), ('chainsaw', 3), ('did', 3), ('said', 3), ('treated', 3), (""i'm"", 3), ('service', 3)]"
